doc_id,item,category,amount,price,discount
5e9d9b39751e49babc40c81624e2b976,towels,Home Textiles,5,469,3
2756c618bd1647f3b753bb0e6b488799,air freshener,Household Chemicals,2,728,1
b5f3dab80bde453c8c95d70ef986d4c2,pillowcases,Home Textiles,2,613,5
b5f3dab80bde453c8c95d70ef986d4c2,laundry detergent,Household Chemicals,3,356,2
b5f3dab80bde453c8c95d70ef986d4c2,cutting boards,Kitchenware,5,523,5
854bd85f50a146a390f1e248e9297031,pillowcases,Home Textiles,3,598,11
854bd85f50a146a390f1e248e9297031,mugs,Dishes,5,345,6
854bd85f50a146a390f1e248e9297031,cups,Dishes,1,957,6
4c39ae9ffe9a45cab42b9d4111422086,food storage containers,Dishes,5,427,10
4c39ae9ffe9a45cab42b9d4111422086,sponges and rags,Household Chemicals,3,997,2
4c39ae9ffe9a45cab42b9d4111422086,air freshener,Household Chemicals,2,487,4
4c39ae9ffe9a45cab42b9d4111422086,spoons and forks,Kitchenware,2,759,10
4c39ae9ffe9a45cab42b9d4111422086,kitchen towels,Home Textiles,1,232,0
4c39ae9ffe9a45cab42b9d4111422086,sheets,Home Textiles,2,307,15
63a1ae05467747b894500acc17c4c822,towels,Home Textiles,3,349,3
63a1ae05467747b894500acc17c4c822,graters,Kitchenware,4,415,9
63a1ae05467747b894500acc17c4c822,sheets,Home Textiles,5,861,2
63a1ae05467747b894500acc17c4c822,pillowcases,Home Textiles,5,461,15
387bf9cc5760498ab0d6ea2e36215368,food storage containers,Dishes,5,328,12
315adf57ae87417bad5ccbd55fbca94c,sheets,Home Textiles,3,972,14
315adf57ae87417bad5ccbd55fbca94c,bucket,Cleaning Supplies,3,201,4
315adf57ae87417bad5ccbd55fbca94c,pillowcases,Home Textiles,1,591,8
315adf57ae87417bad5ccbd55fbca94c,sponges and rags,Household Chemicals,5,241,11
315adf57ae87417bad5ccbd55fbca94c,spatulas and ladles,Kitchenware,2,140,3
315adf57ae87417bad5ccbd55fbca94c,food storage containers,Dishes,1,445,5
17574bbbef054164b9f5fdff6a76d330,tablecloth,Home Textiles,5,370,11
17574bbbef054164b9f5fdff6a76d330,kitchen towels,Home Textiles,1,935,13
17574bbbef054164b9f5fdff6a76d330,cleaning brush,Cleaning Supplies,1,629,8
17574bbbef054164b9f5fdff6a76d330,sponges and rags,Household Chemicals,3,400,0
17574bbbef054164b9f5fdff6a76d330,trash bags,Cleaning Supplies,5,511,14
a2bc214b455042cbb06b157403bf438f,trash bags,Cleaning Supplies,5,990,4
a2bc214b455042cbb06b157403bf438f,sponges and rags,Household Chemicals,1,134,8
a2bc214b455042cbb06b157403bf438f,towels,Home Textiles,4,235,9
bd7d62d9525a4f8199ef57e21575d688,dishwashing liquid,Household Chemicals,1,403,6
bd7d62d9525a4f8199ef57e21575d688,laundry detergent,Household Chemicals,5,855,4
bd7d62d9525a4f8199ef57e21575d688,mop,Cleaning Supplies,5,875,13
bd7d62d9525a4f8199ef57e21575d688,air freshener,Household Chemicals,1,896,5
bd7d62d9525a4f8199ef57e21575d688,sponges and rags,Household Chemicals,5,746,7
d03d4026e5c24d7e85f4b90b6a16207b,towels,Home Textiles,5,855,8
d03d4026e5c24d7e85f4b90b6a16207b,cutting boards,Kitchenware,4,860,8
d03d4026e5c24d7e85f4b90b6a16207b,spoons and forks,Kitchenware,5,643,4
d03d4026e5c24d7e85f4b90b6a16207b,blanket,Home Textiles,4,334,5
d03d4026e5c24d7e85f4b90b6a16207b,dustpan and broom,Cleaning Supplies,3,95,3
77affc9ef96d432bb8dd066bfb94cd16,trash bags,Cleaning Supplies,4,923,3
77affc9ef96d432bb8dd066bfb94cd16,bowls,Dishes,3,892,4
b698c9224b5245a48e2e28e4aac6dc51,plates,Dishes,2,938,15
b698c9224b5245a48e2e28e4aac6dc51,dustpan and broom,Cleaning Supplies,5,876,8
b698c9224b5245a48e2e28e4aac6dc51,salad bowls,Dishes,2,696,10
b698c9224b5245a48e2e28e4aac6dc51,cutting boards,Kitchenware,4,432,8
b698c9224b5245a48e2e28e4aac6dc51,mugs,Dishes,2,844,13
b698c9224b5245a48e2e28e4aac6dc51,sponges and rags,Household Chemicals,3,70,15
665e52bbc25b4c80aa2bf1b3f64313ca,cleaning brush,Cleaning Supplies,1,400,13
665e52bbc25b4c80aa2bf1b3f64313ca,bucket,Cleaning Supplies,2,235,10
665e52bbc25b4c80aa2bf1b3f64313ca,mugs,Dishes,2,401,13
665e52bbc25b4c80aa2bf1b3f64313ca,laundry detergent,Household Chemicals,5,638,14
665e52bbc25b4c80aa2bf1b3f64313ca,tablecloth,Home Textiles,4,926,9
665e52bbc25b4c80aa2bf1b3f64313ca,air freshener,Household Chemicals,3,962,10
b95a4666c9474eefab5ce0f511a67f9f,kitchen knives,Kitchenware,3,480,4
b95a4666c9474eefab5ce0f511a67f9f,bathroom cleaner,Household Chemicals,2,196,10
b95a4666c9474eefab5ce0f511a67f9f,mop,Cleaning Supplies,2,651,15
b95a4666c9474eefab5ce0f511a67f9f,cutting boards,Kitchenware,4,264,10
162d9071fb8a43448b69a8a612567c0d,mop,Cleaning Supplies,3,835,11
162d9071fb8a43448b69a8a612567c0d,tablecloth,Home Textiles,2,551,3
162d9071fb8a43448b69a8a612567c0d,blanket,Home Textiles,2,509,15
162d9071fb8a43448b69a8a612567c0d,bucket,Cleaning Supplies,4,509,8
162d9071fb8a43448b69a8a612567c0d,mugs,Dishes,3,270,15
1dc868a69173429783e223b18bfe99cf,sheets,Home Textiles,1,931,3
1dc868a69173429783e223b18bfe99cf,dishwashing liquid,Household Chemicals,1,199,7
c6353074d95e46aaac5208954a5fcfec,cups,Dishes,2,359,0
c6353074d95e46aaac5208954a5fcfec,cutting boards,Kitchenware,3,600,15
c6353074d95e46aaac5208954a5fcfec,sieve,Kitchenware,3,730,3
c6353074d95e46aaac5208954a5fcfec,spoons and forks,Kitchenware,1,255,3
785bcf0edd1a42449318e0950470352f,universal cleaning spray,Household Chemicals,2,121,8
785bcf0edd1a42449318e0950470352f,kitchen towels,Home Textiles,3,399,4
785bcf0edd1a42449318e0950470352f,trash bags,Cleaning Supplies,5,998,0
785bcf0edd1a42449318e0950470352f,food storage containers,Dishes,4,942,10
d4800587853746a1b686a857b885ee01,tablecloth,Home Textiles,5,794,3
d4800587853746a1b686a857b885ee01,bowls,Dishes,5,65,3
d4800587853746a1b686a857b885ee01,sheets,Home Textiles,3,478,2
d4800587853746a1b686a857b885ee01,pillowcases,Home Textiles,5,622,0
d4800587853746a1b686a857b885ee01,plates,Dishes,3,984,6
78eb2ec9539b490b948ae1bf8696cac6,dishwashing liquid,Household Chemicals,1,606,2
713ffa9615814e2f83ff9664ff3c08a2,sponges and rags,Household Chemicals,2,363,3
713ffa9615814e2f83ff9664ff3c08a2,food storage containers,Dishes,5,567,5
713ffa9615814e2f83ff9664ff3c08a2,laundry detergent,Household Chemicals,5,272,2
713ffa9615814e2f83ff9664ff3c08a2,dustpan and broom,Cleaning Supplies,1,489,12
713ffa9615814e2f83ff9664ff3c08a2,sheets,Home Textiles,2,423,7
713ffa9615814e2f83ff9664ff3c08a2,cleaning brush,Cleaning Supplies,1,963,14
1bd5ff6cd3924914a05b8b616001bbc9,laundry detergent,Household Chemicals,3,688,15
1bd5ff6cd3924914a05b8b616001bbc9,universal cleaning spray,Household Chemicals,4,704,9
1bd5ff6cd3924914a05b8b616001bbc9,pillowcases,Home Textiles,2,720,6
05df361af9314ca09133b574d7c92515,salad bowls,Dishes,2,798,10
05df361af9314ca09133b574d7c92515,bowls,Dishes,2,951,3
05df361af9314ca09133b574d7c92515,sheets,Home Textiles,3,263,12
05df361af9314ca09133b574d7c92515,pillowcases,Home Textiles,2,671,14
61d5817b4d6f4d95b5930ba43b9f9d40,trash bags,Cleaning Supplies,3,445,12
77c0702a88ee449abb9f2d9af88f5d37,cups,Dishes,5,383,7
77c0702a88ee449abb9f2d9af88f5d37,kitchen knives,Kitchenware,5,983,13
d3970cd72b104f799258b32f5ea043c2,cutting boards,Kitchenware,1,300,5
d3970cd72b104f799258b32f5ea043c2,sieve,Kitchenware,5,485,14
d3970cd72b104f799258b32f5ea043c2,food storage containers,Dishes,2,586,8
d3970cd72b104f799258b32f5ea043c2,spatulas and ladles,Kitchenware,5,318,6
